Feedstock,“Primary” Conversion Technology,Commodity,Commodity Unit,Unit Code,year,Buildout,Conversion Factor MJ,Unit MJ,Uncertainty Range Category,Carbon Intensity Unit,Carbon Intensity,Energy Produced,Energy Unit,Generated Emissions in F2C,Use,Weight,Compared to,Useful Output Unit,Adjustment Factor,Carbon Intensity of Use,Adjusted Energy Used in MJ,Emissions Avoided in C2U,Net Avoided Emissions,Net Avoided Emissions Unit
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2025,0,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,0,MJ,0,Surface Transport Fuel,0.5,Gasoline,VMT,2.5,86.638125,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2025,0,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,0,MJ,0,Ammonia Production,0.5,Ammonia,tons of Ammonia,1,117.67,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2025,0,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,0,MJ,0,Surface Transport Fuel,0.5,Gasoline,VMT,2.5,86.638125,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2025,0,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,0,MJ,0,Ammonia Production,0.5,Ammonia,tons of Ammonia,1,117.67,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2025,0,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,0,MJ,0,Surface Transport Fuel,0.5,Gasoline,VMT,2.5,86.638125,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2025,0,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,0,MJ,0,Ammonia Production,0.5,Ammonia,tons of Ammonia,1,117.67,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2026,0,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,0,MJ,0,Surface Transport Fuel,0.5,Gasoline,VMT,2.5,85.3825,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2026,0,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,0,MJ,0,Ammonia Production,0.5,Ammonia,tons of Ammonia,1,117.67,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2026,0,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,0,MJ,0,Surface Transport Fuel,0.5,Gasoline,VMT,2.5,85.3825,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2026,0,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,0,MJ,0,Ammonia Production,0.5,Ammonia,tons of Ammonia,1,117.67,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2026,0,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,0,MJ,0,Surface Transport Fuel,0.5,Gasoline,VMT,2.5,85.3825,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2026,0,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,0,MJ,0,Ammonia Production,0.5,Ammonia,tons of Ammonia,1,117.67,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2027,0,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,0,MJ,0,Surface Transport Fuel,0.5,Gasoline,VMT,2.5,84.126875,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2027,0,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,0,MJ,0,Ammonia Production,0.5,Ammonia,tons of Ammonia,1,117.67,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2027,0,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,0,MJ,0,Surface Transport Fuel,0.5,Gasoline,VMT,2.5,84.126875,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2027,0,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,0,MJ,0,Ammonia Production,0.5,Ammonia,tons of Ammonia,1,117.67,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2027,0,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,0,MJ,0,Surface Transport Fuel,0.5,Gasoline,VMT,2.5,84.126875,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2027,0,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,0,MJ,0,Ammonia Production,0.5,Ammonia,tons of Ammonia,1,117.67,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2028,0,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,0,MJ,0,Surface Transport Fuel,0.5,Gasoline,VMT,2.5,82.87125,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2028,0,119999.99999999999,MJ per MT,Nominal,gCO2e/MJ,10.51,0,MJ,0,Ammonia Production,0.5,Ammonia,tons of Ammonia,1,117.67,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2028,0,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,0,MJ,0,Surface Transport Fuel,0.5,Gasoline,VMT,2.5,82.87125,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2028,0,119999.99999999999,MJ per MT,Low,gCO2e/MJ,10.51,0,MJ,0,Ammonia Production,0.5,Ammonia,tons of Ammonia,1,117.67,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2028,0,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,0,MJ,0,Surface Transport Fuel,0.5,Gasoline,VMT,2.5,82.87125,0,0,0,million MT CO2e
Solar,PV + Electrolysis,Hydrogen,Metric Tons,MT,2028,0,119999.99999999999,MJ per MT,High,gCO2e/MJ,10.51,0,MJ,0,Ammonia Production,0.5,Ammonia,tons of Ammonia,1,117.67,0,0,0,million MT CO2e
